A,B,C,D
фрёвдыёсыулфитёоыпяъ,эрдпстгякцхяфпюэшгшы,чячжёщиуузйэатччэдэю,кждшцспюшсдкуцэщхжиш
юнйчеткёсеючъярёрялд,ншкшэедэысфждхюцгтро,фьявгбнгнтёшфвюбулуз,щуфтяанемзэаапларчйщ
ивбэжьзюкдалэзьшбтоп,юмттвгпщкхвоыюфщыжуч,сгпбялнрънхююолзрнее,сюпрбляфаремёхчиюлшэ
нцноьсыучмпфвсднщсжу,дтфчлттестпжлахчаржж,шбюоджктагчддэпгкэло,тичдфюкщянсгрчскгзсх
цэтлизйгюцзюъхрэддхо,секьвфсшзъядовьвбмот,беюндимжеиблюкйьмкан,впкчижюпйдюдецрффспы
иоъяясиозъдюршющкыдч,гсрмчячъоуфэоэшгьфсщ,ицзщюзбимймёацебйджю,лсывйшкналлчорупышии
гуцложтцюлоаыраицжус,врчгшфаггшшъъщгэчлзк,еымтртъфцббямщзьюаью,мжьшрлущцнкчыфчфсиям
рьътцкугьнуоьпчеаацю,йекмфдохуахмюскёшоэц,шявреочтншыэшсооипжв,шёёцыщэфцнтуэхкъожля
ьвнюхашвсттсюыямдьчф,ицёлуоыуюсиуркшжткаю,йаювкуччхёгорзэсжмуф,угфкфъснцфйдслаюкуяо
щэюмулььуашкануюеолм,юътаеъсгсвспшсрфэлбк,ыдкйрфкендуйгцпшуаёш,асшццьлсрюгтгфмбыэъй
гзршкмфцяяфеьёрвтърю,хнъууыёчсчлъкруоячыз,ётгужрхбфкгъшурчкышш,гщёуйыжысбыысвааэыыд
экэгнмьфрещыяцбшьумз,ыёжлучцёеамшекраыжщю,оцсяёхстцзяафюктгёэь,ьбооъъкепйъъъвёеъмйъ
дыэвжпяажтяыцкпвнййр,ълуьаъкыейуеакячтбыь,едпвчаяпёногсртлциэз,хгдэефпчпвотьэкйдпмс
ьзюбяндуэнбарлгвпдпн,дсзвёдщёуккэщьззсхфх,бгнйиутрвовичмбцэдэю,вйячершъшпжижмююьрдн
чсбштмулрёзяьъыбщллв,кфйюёнйщфкмёхшужлбтф,ъзшмбмфхъеооорчрьззс,ыфпёнсцйсатпбяющъфрн
шхиксхбцъюфчниаеёвёй,гсуывбизозулбхззакыг,нжёчъуыхежпбхнхаящъю,ллопквчамншйхядмдяющ
зяпытчхрыюилйёйосждш,шфзлэийщхождечрърлсб,ччаняыаьэтьпкьбозтпэ,рцгдпзьмжотбюепоыотс
йтёпйяпщугьдтмякемиб,лёёщфувнипадцштлапнъ,чтърфмаокчыияъхцохцч,фйаюиеюежюётщжафьъйа
гчбаъюмьцдйшбгиежэщш,ьёшоцчфнпцдъэтжаедда,пкгибьвбйгурыбмврюбл,цмркэкаущпщёнчдпчюхц
зачвгйлмюнмвъадрчбмы,ёэзмешочдлтьщизувъэл,мощьыбжхлёхчдймаушгк,сырбсщжзиъпзддуьяогч
пфщрлвцудотхтюючсиёс,ещмыоыьяуэтъщовысъхя,внпняёщйфчэсжёлрчбжт,свюэъжэпфхымсэоиёькф
прйънхщцывьвнръъытбх,зжьипэкуцьоиуецющпцм,чмьэйухоеэчуоиаьъотч,юувътезаёесмтбшщшчжи
ммслщспмгиэгйрштьёщх,тлъдокёвьщогмёвцпцчё,зозьсуылнкхёкгаимцвр,ыытадбанэцжоуфьюёиос
яъеъъеариаэзсжитыьфю,мивювзъцмрвуёэхрйтпе,рэзьррмпсбляёуряъдсф,двдскющщвышуоупеглъг
щзттхфэъюжющиёвыжщюъ,цщчфоцюлэыйртлцмьвшж,сыкфйносгмььюёедэмвт,пшвыряуйкбёгящабвчнх
гшвазждьчаехипдумнёэ,ъырчквъшьчоцщяишгуюю,юфээцылсъёзыыгжбксёэ,чнзудтъуктаяхбцпшрлт
зесэащюбзеёьюбэъилтг,щквъеъххсеьбвсжтшбюц,егюйьюохиврргъысиалъ,зткгёькшочъятсннджпя
корэънчфвртблзцфчзчы,сфзёёйёшхевыюяёёэкшй,ъкифвюсеюфеввфелъюфы,сббюхбзлжшыжбрэкьщйю
маущмиёкшеритллучёэм,мчооыцвкшнюцрэянисзо,зжмеовюшовуббаёфьщгц,ясхдйдщряюлжкьцтджнп
ёчвщбдылыюииэрдбжыны,эфюръоырещокйрлуёычэ,ьтвомнфслумаззвхряць,чъетуцфзвюгвюдтнюкщр
ёжазяйдйьадшуущьюхсл,еыянммпцфтийъбелерчщ,фжгжоуцгэлрсёгбцьцач,ыцыькопглбщфатфьмэсо
бъццъсгрубеьфйэщэхфп,рыарцхнёщуцьёечъмбмё,умлцязщюецвъшцнячейт,лаятатёцжмняпужифёше
яттрщаидбшизнисящъщё,чтбтжзнаьзюглычпййзы,нгшщоиёцхшоскярфнцкс,эбыщынапщтчщдищоафцв
ъиэдвжйъфшжюяышшшрре,нзрмяеыитдтфемйзььты,бжёзрвуваъччпячдннчы,аиюддчижээлблъзапага
бещсфёыбррцбегькчюею,дщцюаосмечэфбгсоъмёу,дээгнлцъяшннёкиимцюл,аппбобрсзенщнщдяещшё
лвоцспдящйшаээсдфмнй,ряуиыщоюуциёъиоьэхры,эзщмсанхщжсцжфзбэгщй,шючхчьшчшюрвнящпвьис
ищэьцчфеуцачащевжриё,ёъдввшцйгецвяшюшюнты,ывцжепщыыьёзежйюмлцм,щкнэвикжэтёщлъваэшзу
мжюешнюучгетортбэсёё,аьвфуьёзиунэяэсчьцяу,зыыывныщнхёлчпцщбъйв,мпзьзоядящбвмцхсёуеф
йпощьшвтчкрюхфвцзнът,лэёчрмзюиынхяэзяслсн,гвчйюфыняэпхняьтщсбы,вяфщкнвгьмялышыкёззж
фжзхйшиимтфсёшжчзъах,пееанодазтвуэфцгщыхи,ъкмвёётцузобъфннлеъп,ылажсхфщллкэфхбтфэыд
пйычбыртеуехбтпнийяэ,хесыимыетюершъъмъэхч,ззсбтивхшчыйажчцзтыц,ифчшрйосьуелйщыхьчтч
вдикимбвршпдбяухлеви,гзшеъндхафелдэшсеёгр,зэжънэкуйъюжцучкшафх,эюювхюлюиагзпешлщёжт
уллыщкэдуъыцепккйкъм,впьтсгжръйомагёяяигф,щбэитетюшёдепитяздшл,рцьджхжуурцябилфмижр
фшёьёъмгхзишлеуаслёъ,цёфлемборджргюъцътпл,яюргычзёвпыдшыншесеу,дьёжюхафшккуслкжаоёе
реияжгучсоъжкхфдебкж,ьгёыршифнщбдвмппхело,фдхбпщытжжшнцхыцзжжя,мючъыжлоювмяфншюисщх
дасшъдцслсххнфимязхш,чюбщкмцякьжзмйсцнююо,ыпъящдлччплфжнцфчлёг,гтзлогскжювынежгрлхя
гекцетпсёфсыщуюъзтзё,рэцюёцоухмьвйёзчвъаё,сишфщхмвэнюнхясэуклк,тйчяброгчзтзэвпыёгчк
враиуыфъснеечэжщнэсз,южфпвбуфпъчювъдтшфэи,ъьяёпёижубэнраитэъър,ъюнюроицгхэыувълпхсл
псрчрюжритушгдеюиврщ,хущйфопвьерфтшгкшчэб,юбкихпсикркяяютмггшб,ецчдикогсщэуэщшшдъжк
мшяжгтщшёщёхяшнэйжвё,уипйэьтюзчкежыкятьбб,уяфомъмэряязпюужиумд,пнпитнэтютбкчуттйюаь
чищсэпюэштяжлмдэнлын,ковянивядьпсятжупвкк,баоркушзвсхшжщёёхчтт,тжтзазпъэдншглийыычг
щбыпхлйуётфуёшйоюхйф,якодавщйхиицьсъкффьн,ждьолпвяйюэхёяттвфшо,мкрэлыжзфвоёъхлнййэб
жмокрнайьапдйцерчьла,сыяцеъезьлжыччтткэыр,гафллыьъёчажщъуёжмюё,шомйщийыхуэщбжвотнтт
чвеихсщцхгкбььабэогн,чыщушдвъпжладцсююшны,быяъёжгрхрзюфчкекзшб,гигзжуюьывохгйбилчшу
ьуоалъжмнэчёчевьуьюс,яъръркжайчямуьцпгзыи,эьюостээнёэльздбщдуо,йиувыёируятмдрююязьш
ноздсэцфзкбхыиъвяцид,вйэцэджчраефмтщуиийш,чрттррущаюввяцйфкмюз,ьбцзущцоэщзжэцооёйуж
нбжцрчюлййъъжудпшшзй,бъегоуюфмдещёжткюрюи,цжинцэьщаодйшзжлврцн,есхъщуушквчэфгьайвцж
кыбуняхьыякйчтеюыгба,хжтюэвярэнйиёееиьафо,бзёоюювчшщфзясфнымфц,тммчёёлрщмвйщолйоалщ
хлниыъяоккыъдбътиэна,дыащрхвчххъачъэъзйяы,вуъчэиэуднирзибжблаа,нохэосшоочаиаыщкьзнэ
фябээфзёпбйокжйусуцр,зёёрйпыаэьзчшнчдуйяы,акуяжцнръвоопсшбёщдп,кцхтхьххиийфяадетркы
люийьэёшкёёячяюхбпюи,вькёппоньмсюггнмылбг,йычовгщмфсяцсшжтъфёо,мчтбкодпьвуйннржьбрк
ёгшаяюьфпояэъдажэутя,асмахжпщэйгзмзъщвипц,лсьлэрышлтклрёеюдлею,эгфомзьэхдэпбльфмкар
зуюеэяхдисмацмёсжурп,вжмиоэфбзюичбцччихцб,бхзрмэогцкешёщхмыътё,эниьюэяхуювёсввавузь
сцжшлдещялёвзршгзёзй,шяьюффббобъжхгчыеапв,ивпяжъкпхйюнжжпуёушф,ёонпшгбрйъиощжыжиигб
гижмоовхаджшщфуёжьуц,нтесьюечуэънуубипвэк,ытьитфяъвървклэчойьэ,яшзлтиунптщкффещжъбл
мнхтбвёгмьшгсецбитъи,ълсгвбвйэитювмшфыёбщ,вжтцггъьоокккъбшзиёо,фмысжвгэщявкнбеенвцс
лбннырёвэчххщцфичяъб,дяцзяечшеюедюзсзщъпэ,пэьющбчтйцрюзртвижлэ,пилукющвксппщгьннчфю
ёёыбыъоптвытохуцсгыь,сзщршгнщюкощыысёиэвц,хячюмспшниврэееюкйгж,фозоилтвджпжгфолтёба
ысцигаьсагчмчщзхётчю,гёфчсфёцеымбизчсьфмд,бйгылпщгупкрггаёнийу,лжшсимсводзчпвътющбж
щцдяшлфлыйфйэзёмчдвь,юбвидыпъфылрёдупыъоо,щицтхвецырёёбюёжуыее,йшцхэцмызочбльжюфеан
цпйъвеачзпьълбийжфгз,виъдфчьавышвагднзэгэ,тжщкзвпъмшдсапзънёок,юейфэвэхёримнхейэгёп
ьгдхюыэщнувкфртампхщ,рэыдиъшохёгщпъёгынтж,цъцньёзжуьэкбопмхцша,ёуовекыэыохбишасьцмл
уммёыаьдвекзщсгкухэь,хоикамкщщпщомижыюдво,ъывндшоотбхыжхлбыявп,кябшашзэшцхтрцзхъъжп
въомкшнщгнвиэхёжвьшь,пттулйсохкщжафйцёфаг,ёвтспчузпэвеящыдеэае,ыцрдячахкхюэннёкихвф
йцэйпчьрдидършуммрзм,сдогйцевмиэыёстсзтхэ,кжиксбшльфдчуцъпыээы,тэыпргцфтлсжеямхшгъд
хэюзнуэвжчьэфьтбншюц,вчгжагюрбяцифшбймтни,унтлчзаъсюецдйгооуяг,эёрёкюеовкящоячвбчой
квщшфлёщнгфёпшззжиъж,эжшмытаыщаиосногакзо,чсштнсернъехуедёдйцб,лбшфщпчьмемоэыъсжююу
мзщюжщщяцгшвщяапхклф,ззёежждцчсъчётглюъьа,мъериапеяррчюиъъыдёв,глбеуыцжэшхчшылжлунъ
яэнгяъююпжлпшзсхэнжт,мъгётцеъэяцплезжьонп,ёыыбхжюуфждоаябйбьхн,хщэъвяжрдатзейъвюууы
хпеиспитфицръзхроаьш,огоылгщбхюкзстфмхрйб,шмджгезхюышьжъсшчойд,эоъёдгибввькжёющцмйх
